customer_id,customer_name,email,signup_date,region,acquisition_channel
1,Allison Hill,donaldgarcia@example.net,2024-08-05,North,Direct
2,Angie Henderson,davisjesse@example.net,2024-09-07,North,Organic Search
3,Cristian Santos,lrobinson@example.com,2025-07-15,South,Paid Ads
4,Abigail Shaffer,jpeterson@example.org,2025-02-09,East,Organic Search
5,Gabrielle Davis,howardmaurice@example.com,2023-12-17,North,Direct
6,Monica Herrera,smiller@example.net,2025-05-15,Central,Social Media
7,Shannon Ray,williamsjeremy@example.com,2024-07-24,South,Organic Search
8,Dr. Sharon James,xreid@example.org,2023-07-17,North,Referral
9,Daniel Adams,lynchgeorge@example.net,2023-07-23,West,Organic Search
10,Joel Nelson,gabriellecameron@example.org,2023-10-20,South,Paid Ads
11,Andrew Stewart,carl95@example.org,2024-01-24,West,Email
12,Jennifer Rocha,ithomas@example.org,2023-08-07,North,Email
13,Kimberly Burgess,zhurst@example.com,2025-07-12,North,Organic Search
14,Zachary Hicks,camposmichelle@example.org,2023-12-02,West,Organic Search
15,Rebecca Henderson,cruzcaitlin@example.com,2023-11-04,North,Paid Ads
16,Tricia Valencia,frazierdanny@example.net,2024-04-05,North,Paid Ads
17,Patricia Peterson,ryan70@example.net,2023-12-02,Central,Organic Search
18,Deborah Mason,williamrodriguez@example.net,2023-02-27,North,Organic Search
19,Mark Lynch,nathanielmartin@example.net,2023-12-11,West,Social Media
20,Linda Burns,hickmannatasha@example.com,2025-03-10,North,Direct
21,David Bradley,millertodd@example.org,2023-10-26,East,Organic Search
22,Kim Martinez,karroyo@example.com,2023-05-29,South,Organic Search
23,Lisa Brandt,jenniferross@example.net,2025-05-16,North,Direct
24,Jessica Holmes,wrightcaleb@example.org,2024-01-01,Central,Social Media
25,Crystal Robinson,zimmermanbrian@example.org,2023-09-06,North,Social Media
26,Shannon Jones,joshuawashington@example.net,2024-12-08,South,Social Media
27,Timothy Duncan,esanchez@example.com,2024-07-22,South,Organic Search
28,Brent Jordan,ujenkins@example.org,2023-12-31,East,Paid Ads
29,Victoria Garcia,zchandler@example.org,2025-01-31,Central,Referral
30,Connor West,dwhite@example.org,2023-10-06,Central,Direct
31,Angela Morton,williamsyvette@example.org,2024-08-06,Central,Social Media
32,Tammy Allison,richardolson@example.com,2023-08-04,Central,Social Media
33,Carmen Smith,ybaker@example.com,2024-04-27,Central,Direct
34,Michael Cross,smoore@example.org,2024-01-26,North,Email
35,Lauren Daniels,brian97@example.net,2023-09-11,North,Direct
36,Kim Brown,yorkcasey@example.org,2023-03-01,North,Organic Search
37,Cynthia Wilson,bethwilliams@example.org,2023-03-04,South,Social Media
38,Kevin Mills,james53@example.com,2025-01-19,West,Paid Ads
39,Michael Evans,sarah10@example.com,2024-05-29,South,Referral
40,Kristine Garcia,williamanderson@example.com,2023-04-12,West,Organic Search
41,Sherry Wood,samueldaniels@example.com,2024-07-30,East,Organic Search
